population_2020,region_2020,region_pop_group,region_label,pop_label,n
"Less than 1,000",Northeast,101,Northeast,"Less than 1,000",3
"1,000 to 10,000",Northeast,102,Northeast,"1,000 to 10,000",17
"10,000 to 50,000",Northeast,103,Northeast,"10,000 to 50,000",37
"50,000 to 100,000",Northeast,104,Northeast,"50,000 to 100,000",11
"100,000 to 1 million",Northeast,105,Northeast,"100,000 to 1 million",20
Greater than 1 million,Northeast,106,Northeast,Greater than 1 million,20
"Less than 1,000",Midwest,201,Midwest,"Less than 1,000",13
"1,000 to 10,000",Midwest,202,Midwest,"1,000 to 10,000",27
"10,000 to 50,000",Midwest,203,Midwest,"10,000 to 50,000",49
"50,000 to 100,000",Midwest,204,Midwest,"50,000 to 100,000",19
"100,000 to 1 million",Midwest,205,Midwest,"100,000 to 1 million",26
Greater than 1 million,Midwest,206,Midwest,Greater than 1 million,4
"Less than 1,000",South,301,South,"Less than 1,000",19
"1,000 to 10,000",South,302,South,"1,000 to 10,000",58
"10,000 to 50,000",South,303,South,"10,000 to 50,000",83
"50,000 to 100,000",South,304,South,"50,000 to 100,000",55
"100,000 to 1 million",South,305,South,"100,000 to 1 million",67
Greater than 1 million,South,306,South,Greater than 1 million,34
"Less than 1,000",West,401,West,"Less than 1,000",6
"1,000 to 10,000",West,402,West,"1,000 to 10,000",20
"10,000 to 50,000",West,403,West,"10,000 to 50,000",33
"50,000 to 100,000",West,404,West,"50,000 to 100,000",22
"100,000 to 1 million",West,405,West,"100,000 to 1 million",50
Greater than 1 million,West,406,West,Greater than 1 million,29
