year,mean_core,mean_residential,mean_ira
2000,.1683087121594152,.440010979725415,.0928986038095463
2002,.160547161459878,.4507603026548545,.0845723214932204
2004,.1556552758551228,.4599576613867475,.0847489672298183
2006,.1474253545376267,.4715195002056825,.0869355630722548
2008,.14263914407519,.4643076224242235,.0913982831643264
2010,.1280630461743097,.4420154599928847,.0936098074599084
2012,.1235453470656853,.4346426724806799,.0958297610713794
2014,.1251473728868933,.4414219121937349,.0977158535797123
2016,.1181253809272809,.4479095637298123,.0944158377122998
2018,.1137917575865915,.4606655442576665,.1010807282471039
2020,.1133660297534555,.4652275942313661,.1107960875681029
2022,.1001326050159504,.4757876428748983,.1060849043163225
