asset,year,threshold,pct_of_asset
pri_res,2002,25,77.65742875541738
pri_res,2002,50,45.8344770641464
pri_res,2002,75,22.88918354081163
pri_res,2002,90,10.6260474589926
pri_res,2002,95,5.868322088336047
sec_res,2002,25,46.14554982200341
sec_res,2002,50,12.47879870335346
sec_res,2002,75,3.99745294544776
sec_res,2002,90,1.378132384363867
sec_res,2002,95,.8008448968685306
re,2002,25,81.02512307581327
re,2002,50,41.20857626766639
re,2002,75,18.01522880047105
re,2002,90,10.63914953895497
re,2002,95,1.597769987475671
bus,2002,25,87.68191677968242
bus,2002,50,54.16406969741141
bus,2002,75,29.30441057101553
bus,2002,90,9.148866762405184
bus,2002,95,1.382762766979875
ira,2002,25,66.12318804612543
ira,2002,50,30.1011711684202
ira,2002,75,6.923690857095299
ira,2002,90,1.152330724031202
ira,2002,95,.7538703704017371
stk,2002,25,76.59439921472088
stk,2002,50,37.30292501261769
stk,2002,75,11.50017921846024
stk,2002,90,1.954065315149757
stk,2002,95,1.045965317951187
bond,2002,25,51.60786083414388
bond,2002,50,14.44833021186552
bond,2002,75,5.390456370409953
bond,2002,90,.2600272979470251
bond,2002,95,.0859018752146422
chck,2002,25,42.92252135816909
chck,2002,50,18.85699496248384
chck,2002,75,11.32933446991197
chck,2002,90,9.531471030390955
chck,2002,95,8.573017622647264
cd,2002,25,50.03148828647427
cd,2002,50,19.55436137320295
cd,2002,75,5.775243345100594
cd,2002,90,.7696923080605264
cd,2002,95,.622709443849139
vehicles,2002,25,13.98236363385199
vehicles,2002,50,5.086577362907287
vehicles,2002,75,2.810640054543834
vehicles,2002,90,1.931373785750481
vehicles,2002,95,1.214894388991349
other,2002,25,68.17519132250561
other,2002,50,51.80552541338801
other,2002,75,42.09187460554535
other,2002,90,39.70905289631655
other,2002,95,29.59561092566953
core,2002,25,93.28614614546552
core,2002,50,69.47449834711551
core,2002,75,33.05939692432355
core,2002,90,12.0522645030537
core,2002,95,3.929759330615793
residential,2002,25,81.703019917579
residential,2002,50,50.42343059324654
residential,2002,75,24.23462449115415
residential,2002,90,10.76528756334048
residential,2002,95,5.745108191635354
pri_res,2022,25,84.02960777662967
pri_res,2022,50,54.36795635843423
pri_res,2022,75,32.1746972659752
pri_res,2022,90,18.49258039076473
pri_res,2022,95,12.46760928341836
sec_res,2022,25,51.82266746704657
sec_res,2022,50,19.04830132274262
sec_res,2022,75,7.457526107850927
sec_res,2022,90,3.929930474136082
sec_res,2022,95,1.831654417939304
re,2022,25,78.18821497064272
re,2022,50,43.22364752707406
re,2022,75,11.82859191486517
re,2022,90,2.261189823638319
re,2022,95,1.468193385991827
bus,2022,25,83.09018183994709
bus,2022,50,45.63083508039055
bus,2022,75,23.78309886092257
bus,2022,90,7.19509533598586
bus,2022,95,1.09156057581623
ira,2022,25,80.51071110182565
ira,2022,50,44.29572972109887
ira,2022,75,11.50951256720707
ira,2022,90,1.638718097828522
ira,2022,95,.436089371345401
stk,2022,25,77.04538164684381
stk,2022,50,41.73821090368543
stk,2022,75,12.89864130454466
stk,2022,90,2.393527871303656
stk,2022,95,.7321682619847029
bond,2022,25,26.82830042030943
bond,2022,50,4.02712272791911
bond,2022,75,.0035764855487736
bond,2022,90,.0035764855487736
bond,2022,95,.0035764855487736
chck,2022,25,33.42709789988732
chck,2022,50,10.87537111366965
chck,2022,75,4.182718823522588
chck,2022,90,2.838476920909191
chck,2022,95,1.995848470254514
cd,2022,25,34.98497268350368
cd,2022,50,11.00626884678616
cd,2022,75,1.639229520963919
cd,2022,90,.919681234764621
cd,2022,95,.4544199844579999
vehicles,2022,25,19.48549625238971
vehicles,2022,50,10.85639883965931
vehicles,2022,75,6.407928762152612
vehicles,2022,90,5.13737674511215
vehicles,2022,95,4.53327457934712
other,2022,25,55.41214640143995
other,2022,50,22.96587710595241
other,2022,75,7.749552491514161
other,2022,90,4.438454165258733
other,2022,95,2.33866034705353
core,2022,25,90.88766891186188
core,2022,50,65.40603769583005
core,2022,75,30.85764383783784
core,2022,90,8.874171583617843
core,2022,95,3.734491477043318
residential,2022,25,87.38783737051192
residential,2022,50,58.84027772186818
residential,2022,75,34.84333895333055
residential,2022,90,19.96685956092557
residential,2022,95,13.29167937800079
