population_3bin_2020,region_,n,region_label,pop3_label,region_pop3_group
1,1,20,Northeast,Small town (<10k),11
2,1,48,Northeast,Small/med city (10k-100k),12
3,1,40,Northeast,Large metro (100k+),13
1,2,40,Midwest,Small town (<10k),21
2,2,68,Midwest,Small/med city (10k-100k),22
3,2,30,Midwest,Large metro (100k+),23
1,3,77,South,Small town (<10k),31
2,3,138,South,Small/med city (10k-100k),32
3,3,101,South,Large metro (100k+),33
1,4,26,West,Small town (<10k),41
2,4,55,West,Small/med city (10k-100k),42
3,4,79,West,Large metro (100k+),43
