year,mean_lab,mean_tot,n
2000,,,0
2002,32051.02553647311,51878.50437443158,18165
2004,34677.44248558013,55397.85876887523,20129
2006,32623.3959361613,53489.8258248216,18469
2008,32118.25572715882,52958.02888678548,17217
2010,34179.59941252787,50369.49186027385,22034
2012,33343.22113201107,49178.34471779363,20554
2014,33797.74524982437,49727.28441160163,18747
2016,36431.50986608282,53539.04289044595,20912
2018,35166.32144344003,52319.69678225021,17146
2020,35752.92149948883,52701.73405751368,15723
2022,34617.21160609437,50624.1611291924,15856
